,date,state,name,wholesalePrice,retailPrice,shoppingmallPrice,units,image
0,2024-05-01,Uttar Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,resource/images/vegetables/onionbig-64.png
1,2024-05-01,Uttar Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
2,2024-05-01,Uttar Pradesh,Tomato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/tomato-64.png
3,2024-05-01,Uttar Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,resource/images/vegetables/greenchili-64.png
4,2024-05-01,Uttar Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
5,2024-05-01,Uttar Pradesh,Potato,28,32 - 36,34 - 46,1kg,resource/images/vegetables/potato-64.png
6,2024-05-01,Uttar Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
7,2024-05-01,Uttar Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/amaranthleaves-64.png
8,2024-05-01,Uttar Pradesh,Amla,75,86 - 95,90 - 124,1kg,resource/images/vegetables/amla-64.png
9,2024-05-01,Uttar Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
10,2024-05-01,Uttar Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,resource/images/vegetables/babycorn-64.png
11,2024-05-01,Uttar Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
12,2024-05-01,Uttar Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,resource/images/vegetables/capsicum-64.png
13,2024-05-01,Uttar Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
14,2024-05-01,Uttar Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
15,2024-05-01,Uttar Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,resource/images/vegetables/butterbeans-64.png
16,2024-05-01,Uttar Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,resource/images/vegetables/broadbeans-64.png
17,2024-05-01,Uttar Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
18,2024-05-01,Uttar Pradesh,Carrot,45,52 - 57,54 - 74,1kg,resource/images/vegetables/carrot-64.png
19,2024-05-01,Uttar Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
20,2024-05-01,Uttar Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,resource/images/vegetables/clusterbeans-64.png
21,2024-05-01,Uttar Pradesh,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
22,2024-05-01,Uttar Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/colocasialeaves-64.png
23,2024-05-01,Uttar Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,resource/images/vegetables/colocasia-64.png
24,2024-05-01,Uttar Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
25,2024-05-01,Uttar Pradesh,Corn,26,30 - 33,31 - 43,1kg,resource/images/vegetables/corn-64.png
26,2024-05-01,Uttar Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cucumber-64.png
27,2024-05-01,Uttar Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,resource/images/vegetables/curryleaves-64.png
28,2024-05-01,Uttar Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/dillleaves-64.png
29,2024-05-01,Uttar Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,resource/images/vegetables/drumsticks-64.png
